id,name,structure_type,road_name,road_number,road_class,chainage_km,latitude,longitude,span_length_m,no_of_spans,no_of_lanes,no_of_piers,width_m,material,crossing_type,surface_type,year_built,condition_rating,last_inspection_date,district,region,maintenance_station,functional_class,river,overall_rating
BRG--,RWIZI BRIDGE,bridge,Mbarara(Bushenyi Junction) - Ntungamo,A002_Link08,A,264.0,-0.61817,30.644039,18.5,3,2,2,11.0,Prestressed Concrete,01,Bituminous,1970,2,2023-12-04,Mbarara,Southern,Mbarara,A,RIVER RWIZI,
BRG-B001,KIBIMBA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.53546,33.89109,20.0,3,2,2,13.0,Steel Truss,01,Bituminous,2022,5,2023-07-07,Kampala,Central,Kampala,M,KIBIMBA RIVER,7
BRG-B002,MALABA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,200.5,0.63782,34.26833,16.0,3,2,2,20.2,Steel Composite,01,Bituminous,2016,5,2024-01-03,Kampala,Central,Kampala,M,MALABA,7
BRG-B003,BUSEGA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.301,32.510059,73,1,2,0,7.3,Steel Truss,Road over river,Bituminous,2018,4,2022-11-09,Kampala,Central,Kampala,M,,7
BRG-B004,KATONGA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.30104,32.509979,22,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2018,5,2023-02-07,Kampala,Central,Kampala,M,,7
BRG-B005,RWIZI BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,264.0,-0.61817,30.644039,18.5,3,2,2,11.0,Prestressed Concrete,01,Bituminous,2018,4,2023-01-08,Kampala,Central,Kampala,M,RIVER RWIZI,6
BRG-B006,KAMIRA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,325.596008300781,-0.92715,30.223,42.0,1,2,0,8.0,Masonry,01,Bituminous,2018,5,2024-02-02,Kampala,Central,Kampala,M,KAMIRA RIVER,7
BRG-B007,RUBANGA BRIDGE,bridge,Ntungamo - Rubaale,A002_Link09,A,325.600006103516,-0.95836,30.20702,31.3,1,2,0,8.0,Steel Girder,01,Bituminous,1970,1,2024-02-02,Kabale,Southern,Kabale,A,RUBANGA RIVER,6
BRG-B008,KATINADA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,340.557006835938,-1.03785,30.18478,14.0,1,2,0,11.0,Reinforced Concrete,01,Bituminous,2018,5,2022-07-12,Kampala,Central,Kampala,M,KEMYENDA RIVER,6
BRG-B009,Rubaale - Muhanga - Kabale,bridge,Kampala - Entebbe Expressway,M3_Link01,M,391.0,-1.26244,30.028669,21.0,1,2,0,10.8,Steel Girder,01,Bituminous,2018,5,2023-10-05,Kampala,Central,Kampala,M,KYANAMIRA,6
BRG-B00Z,Bumuli overbridge 2,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.176,32.5173,40,1,2,0,7.3,Steel Truss,Road over river,Bituminous,2018,4,2023-09-05,Kampala,Central,Kampala,M,,7
BRG-B00Z-11,Bumuli overbridge 2,bridge,Njeru - Jinja (Dual Section),A001N1_Link01,A,0,0.43834,33.186661,64,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,1960,2,2024-05-02,Kampala,Central,Kampala,A,,7
BRG-B010,KEE B7 Overbridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2596,32.5215,22,1,2,0,7.3,Masonry,Road over river,Bituminous,2018,5,2024-03-03,Kampala,Central,Kampala,M,,7
BRG-B010-13,Sisa Bridge underpass,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1594,32.5124,21,1,2,0,7.3,Timber,Road over river,Bituminous,2018,5,2023-03-09,Kampala,Central,Kampala,M,,7
